"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"002CZ9-E","HF",18,63,7,5,12,28,29,0.25,0.172413793103448,46,"intermittent"
"002DDZ-E","HF",1,55,27,28,55,27,28,1,1,55,"quarterly"
"002DFS-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002DKJ-E","HF",1,48,24,24,48,24,24,1,1,48,"quarterly"
"002DZN-E","HF",79,85,3,4,7,41,41,0.0731707317073171,0.0975609756097561,7,"intermittent"
"002FVQ-E","HF",31,85,26,28,54,37,37,0.702702702702703,0.756756756756757,55,"intermittent"
"002G5X-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002GFZ-E","HF",1,8,4,4,8,4,4,1,1,8,"quarterly"
"002GK8-E","HF",1,44,22,22,44,22,22,1,1,44,"quarterly"
"002GTL-E","HF",1,24,12,12,24,12,12,1,1,24,"quarterly"
"002GZZ-E","HF",1,34,17,17,34,17,17,1,1,34,"quarterly"
"002H22-E","HF",1,4,2,2,4,2,2,1,1,4,"too short to classify"
"002H97-E","HF",1,25,12,13,25,12,13,1,1,25,"quarterly"
"002HB5-E","HF",1,27,13,14,27,13,14,1,1,27,"quarterly"
"002HCW-E","HF",1,32,16,16,32,16,16,1,1,32,"quarterly"
"002HDY-E","HF",1,85,29,29,58,42,43,0.69047619047619,0.674418604651163,85,"intermittent"
"002HFC-E","HF",1,51,25,26,51,25,26,1,1,51,"quarterly"
"002HFD-E","HF",1,61,2,8,10,30,31,0.0666666666666667,0.258064516129032,61,"intermittent"
"002HFX-E","HF",1,80,40,40,80,40,40,1,1,80,"quarterly"
"002HH9-E","HF",1,17,7,9,16,8,9,0.875,1,17,"quarterly"
"002HLM-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002HP1-E","HF",1,44,18,22,40,22,22,0.818181818181818,1,44,"quarterly"
"002HP7-E","HF",1,14,7,7,14,7,7,1,1,14,"quarterly"
"002HPR-E","HF",1,3,1,2,3,1,2,1,1,3,"too short to classify"
"002HPZ-E","HF",1,31,15,16,31,15,16,1,1,31,"quarterly"
"002HQV-E","HF",1,44,22,22,44,22,22,1,1,44,"quarterly"
"002HR5-E","HF",72,85,6,6,12,41,41,0.146341463414634,0.146341463414634,14,"intermittent"
"002HR6-E","HF",1,43,21,22,43,21,22,1,1,43,"quarterly"
"002HRF-E","HF",1,80,40,40,80,40,40,1,1,80,"quarterly"
"002HVP-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002HW1-E","HF",1,43,20,20,40,21,22,0.952380952380952,0.909090909090909,43,"quarterly"
"002HWL-E","HF",1,12,6,6,12,6,6,1,1,12,"quarterly"
"002HWN-E","HF",1,18,9,9,18,9,9,1,1,18,"quarterly"
"002HXC-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002HXV-E","HF",1,58,29,29,58,29,29,1,1,58,"quarterly"
"002HZX-E","HF",1,69,34,35,69,34,35,1,1,69,"quarterly"
"002J17-E","HF",1,37,12,13,25,18,19,0.666666666666667,0.68421052631579,37,"intermittent"
"002J39-E","HF",1,8,4,4,8,4,4,1,1,8,"quarterly"
"002J3K-E","HF",1,42,19,18,37,21,21,0.904761904761905,0.857142857142857,42,"quarterly"
"002J3W-E","HF",1,83,41,42,83,41,42,1,1,83,"quarterly"
"002J41-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002J57-E","HF",24,85,31,31,62,41,41,0.75609756097561,0.75609756097561,62,"intermittent"
"002J5H-E","HF",1,33,16,17,33,16,17,1,1,33,"quarterly"
"002J5N-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002J6G-E","HF",15,53,5,8,13,25,25,0.2,0.32,39,"intermittent"
"002J7Z-E","HF",1,10,5,5,10,5,5,1,1,10,"quarterly"
"002J87-E","HF",1,21,10,11,21,10,11,1,1,21,"quarterly"
"002JJY-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002JLJ-E","HF",1,12,6,6,12,6,6,1,1,12,"quarterly"
"002JZ5-E","HF",1,10,5,5,10,5,5,1,1,10,"quarterly"
"002K07-E","HF",1,11,5,6,11,5,6,1,1,11,"quarterly"
"002K0C-E","HF",1,13,6,7,13,6,7,1,1,13,"quarterly"
"002K35-E","HF",1,85,39,38,77,42,43,0.928571428571429,0.883720930232558,85,"quarterly"
"002KCX-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002KJS-E","HF",1,15,7,8,15,7,8,1,1,15,"quarterly"
"002L82-E","HF",4,22,9,8,17,10,9,0.9,0.888888888888889,19,"quarterly"
